,Indicator,State,Time Period End Date,Value
2946,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-09,38.1
2947,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-09,33.6
2948,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-09,39.0
2949,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-09,41.1
2950,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-09,39.1
2951,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-09,36.7
2952,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-09,36.1
2953,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-09,33.3
2954,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-09,36.3
2955,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-09,36.4
2956,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-09,34.3
2957,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-09,39.4
2958,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-09,35.3
2959,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-09,37.6
2960,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-09,33.1
2961,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-09,32.0
2962,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-09,32.5
2963,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-09,40.3
2964,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-09,41.7
2965,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-09,33.7
2966,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-09,35.4
2967,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-09,32.7
2968,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-09,36.2
2969,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-09,30.6
2970,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-09,38.6
2971,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-09,33.1
2972,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-09,33.1
2973,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-09,30.4
2974,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-09,37.6
2975,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-09,34.9
2976,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-09,35.4
2977,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-09,40.2
2978,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-09,37.7
2979,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-09,32.2
2980,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-09,26.3
2981,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-09,36.4
2982,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-09,38.4
2983,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-09,40.9
2984,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-09,34.7
2985,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-09,34.9
2986,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-09,31.6
2987,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-09,29.9
2988,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-09,32.4
2989,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-09,38.2
2990,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-09,33.3
2991,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-09,34.5
2992,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-09,33.3
2993,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-09,35.4
2994,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-09,38.4
2995,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-09,31.3
2996,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-09,33.6
3156,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-09,37.2
3157,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-09,35.5
3158,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-09,39.3
3159,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-09,31.6
3160,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-09,42.3
3161,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-09,37.7
3162,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-09,33.5
3163,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-09,28.0
3164,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-09,46.4
3165,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-09,36.4
3166,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-09,35.3
3167,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-09,33.3
3168,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-09,33.2
3169,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-09,36.3
3170,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-09,36.6
3171,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-09,34.2
3172,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-09,35.2
3173,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-09,39.8
3174,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-09,44.5
3175,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-09,33.5
3176,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-09,35.3
3177,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-09,38.4
3178,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-09,33.2
3179,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-09,30.5
3180,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-09,38.0
3181,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-09,33.8
3182,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-09,38.2
3183,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-09,30.8
3184,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-09,42.8
3185,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-09,32.2
3186,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-09,38.3
3187,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-09,43.2
3188,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-09,36.2
3189,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-09,32.6
3190,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-09,27.7
3191,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-09,36.5
3192,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-09,34.5
3193,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-09,47.6
3194,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-09,34.6
3195,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-09,38.3
3196,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-09,35.3
3197,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-09,27.3
3198,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-09,35.6
3199,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-09,39.5
3200,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-09,38.5
3201,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-09,36.6
3202,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-09,36.5
3203,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-09,39.9
3204,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-09,39.2
3205,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-09,30.8
3206,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-09,33.2
3366,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-10,33.6
3367,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-10,37.4
3368,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-10,37.8
3369,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-10,42.3
3370,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-10,42.4
3371,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-10,37.5
3372,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-10,34.6
3373,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-10,39.0
3374,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-10,37.1
3375,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-10,37.8
3376,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-10,34.7
3377,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-10,40.2
3378,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-10,33.3
3379,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-10,36.6
3380,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-10,34.3
3381,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-10,29.6
3382,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-10,36.2
3383,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-10,42.8
3384,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-10,41.5
3385,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-10,36.3
3386,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-10,36.9
3387,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-10,37.6
3388,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-10,37.0
3389,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-10,30.7
3390,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-10,35.1
3391,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-10,36.4
3392,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-10,32.8
3393,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-10,32.5
3394,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-10,43.3
3395,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-10,31.4
3396,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-10,39.1
3397,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-10,41.1
3398,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-10,35.2
3399,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-10,35.8
3400,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-10,27.8
3401,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-10,38.5
3402,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-10,38.1
3403,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-10,39.0
3404,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-10,37.7
3405,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-10,35.1
3406,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-10,32.9
3407,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-10,31.3
3408,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-10,36.2
3409,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-10,38.8
3410,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-10,36.1
3411,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-10,44.0
3412,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-10,32.9
3413,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-10,38.5
3414,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-10,42.8
3415,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-10,34.5
3416,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-10,33.1
3576,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-10,36.0
3577,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-10,38.5
3578,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-10,39.8
3579,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-10,38.5
3580,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-10,39.9
3581,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-10,37.7
3582,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-10,36.9
3583,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-10,34.3
3584,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-10,40.1
3585,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-10,35.7
3586,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-10,37.8
3587,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-10,38.8
3588,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-10,35.9
3589,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-10,34.8
3590,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-10,38.8
3591,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-10,33.4
3592,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-10,39.6
3593,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-10,41.9
3594,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-10,41.2
3595,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-10,35.9
3596,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-10,37.1
3597,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-10,37.8
3598,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-10,37.0
3599,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-10,30.6
3600,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-10,41.5
3601,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-10,40.8
3602,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-10,34.8
3603,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-10,33.3
3604,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-10,41.9
3605,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-10,31.0
3606,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-10,35.7
3607,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-10,46.3
3608,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-10,38.9
3609,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-10,32.4
3610,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-10,30.9
3611,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-10,37.2
3612,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-10,39.3
3613,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-10,41.4
3614,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-10,35.4
3615,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-10,39.1
3616,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-10,36.5
3617,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-10,28.7
3618,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-10,37.8
3619,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-10,41.4
3620,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-10,33.1
3621,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-10,36.1
3622,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-10,35.6
3623,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-10,41.7
3624,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-10,36.0
3625,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-10,36.0
3626,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-10,32.0
3786,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-11,44.8
3787,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-11,38.2
3788,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-11,40.3
3789,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-11,41.6
3790,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-11,43.7
3791,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-11,43.3
3792,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-11,41.8
3793,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-11,41.5
3794,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-11,50.1
3795,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-11,43.6
3796,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-11,46.4
3797,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-11,43.4
3798,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-11,42.2
3799,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-11,41.8
3800,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-11,40.9
3801,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-11,44.3
3802,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-11,43.6
3803,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-11,40.8
3804,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-11,42.3
3805,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-11,43.8
3806,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-11,39.7
3807,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-11,42.8
3808,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-11,34.8
3809,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-11,37.1
3810,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-11,42.7
3811,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-11,40.3
3812,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-11,39.4
3813,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-11,38.1
3814,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-11,47.3
3815,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-11,39.2
3816,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-11,36.9
3817,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-11,44.2
3818,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-11,36.5
3819,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-11,42.3
3820,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-11,25.5
3821,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-11,42.0
3822,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-11,43.3
3823,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-11,44.1
3824,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-11,41.3
3825,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-11,42.3
3826,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-11,41.4
3827,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-11,32.3
3828,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-11,36.7
3829,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-11,44.4
3830,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-11,36.4
3831,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-11,43.8
3832,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-11,36.7
3833,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-11,38.8
3834,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-11,39.3
3835,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-11,39.2
3836,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-11,37.0
3996,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-11,43.8
3997,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-11,44.6
3998,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-11,43.8
3999,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-11,44.2
4000,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-11,45.1
4001,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-11,45.8
4002,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-11,37.5
4003,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-11,35.9
4004,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-11,40.3
4005,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-11,41.3
4006,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-11,39.6
4007,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-11,32.1
4008,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-11,40.5
4009,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-11,42.6
4010,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-11,39.5
4011,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-11,39.7
4012,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-11,40.0
4013,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-11,38.9
4014,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-11,46.8
4015,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-11,40.9
4016,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-11,40.3
4017,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-11,42.1
4018,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-11,40.7
4019,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-11,41.4
4020,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-11,44.3
4021,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-11,39.7
4022,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-11,45.3
4023,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-11,39.6
4024,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-11,47.6
4025,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-11,40.1
4026,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-11,40.9
4027,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-11,49.7
4028,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-11,41.7
4029,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-11,41.5
4030,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-11,39.0
4031,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-11,41.7
4032,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-11,46.5
4033,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-11,45.2
4034,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-11,39.9
4035,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-11,44.5
4036,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-11,44.9
4037,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-11,42.3
4038,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-11,42.7
4039,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-11,47.3
4040,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-11,44.3
4041,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-11,39.8
4042,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-11,38.2
4043,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-11,43.4
4044,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-11,42.6
4045,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-11,38.7
4046,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-11,39.5
4206,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-12,38.5
4207,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-12,42.6
4208,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-12,39.8
4209,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-12,41.9
4210,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-12,43.2
4211,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-12,43.0
4212,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-12,41.6
4213,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-12,42.9
4214,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-12,41.8
4215,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-12,39.4
4216,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-12,39.9
4217,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-12,40.7
4218,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-12,41.3
4219,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-12,43.1
4220,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-12,43.7
4221,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-12,36.1
4222,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-12,36.8
4223,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-12,45.9
4224,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-12,47.3
4225,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-12,36.9
4226,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-12,38.1
4227,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-12,39.4
4228,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-12,40.1
