,Indicator,Group,State,Subgroup,Time Period End Date,Value
7721,Symptoms of Depressive Disorder,By State,Montana,Montana,2021-08,17.6
7722,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2021-08,19.2
7723,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2021-08,27.2
7724,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2021-08,17.2
7725,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2021-08,17.9
7726,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2021-08,20.7
7727,Symptoms of Depressive Disorder,By State,New York,New York,2021-08,19.1
7728,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2021-08,26.2
7729,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2021-08,25.3
7730,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2021-08,27.4
7731,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2021-08,26.2
7732,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2021-08,24.2
7733,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2021-08,25.1
7734,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2021-08,19.5
7735,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2021-08,26.2
7736,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2021-08,18.3
7737,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2021-08,28.3
7738,Symptoms of Depressive Disorder,By State,Texas,Texas,2021-08,22.5
7739,Symptoms of Depressive Disorder,By State,Utah,Utah,2021-08,24.2
7740,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2021-08,16.8
7741,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2021-08,16.8
7742,Symptoms of Depressive Disorder,By State,Washington,Washington,2021-08,23.7
7743,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2021-08,24.4
7744,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2021-08,15.6
7745,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2021-08,23.6
7773,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2021-08,34.5
7774,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2021-08,27.9
7775,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2021-08,30.4
7776,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2021-08,32.2
7777,Symptoms of Anxiety Disorder,By State,California,California,2021-08,26.2
7778,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2021-08,27.9
7779,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2021-08,24.0
7780,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2021-08,30.0
7781,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2021-08,30.0
7782,Symptoms of Anxiety Disorder,By State,Florida,Florida,2021-08,27.5
7783,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2021-08,30.3
7784,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2021-08,26.5
7785,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2021-08,25.7
7786,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2021-08,24.8
7787,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2021-08,27.2
7788,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2021-08,24.2
7789,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2021-08,25.8
7790,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2021-08,31.5
7791,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2021-08,36.2
7792,Symptoms of Anxiety Disorder,By State,Maine,Maine,2021-08,28.8
7793,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2021-08,28.0
7794,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2021-08,28.2
7795,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2021-08,27.2
7796,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2021-08,24.8
7797,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2021-08,27.1
7798,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2021-08,27.1
7799,Symptoms of Anxiety Disorder,By State,Montana,Montana,2021-08,23.9
7800,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2021-08,24.8
7801,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2021-08,32.3
7802,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2021-08,21.6
7803,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2021-08,27.1
7804,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2021-08,27.1
7805,Symptoms of Anxiety Disorder,By State,New York,New York,2021-08,23.6
7806,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2021-08,30.1
7807,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2021-08,25.5
7808,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2021-08,27.9
7809,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2021-08,31.8
7810,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2021-08,31.8
7811,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2021-08,31.4
7812,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2021-08,25.6
7813,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2021-08,25.4
7814,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2021-08,25.2
7815,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2021-08,35.2
7816,Symptoms of Anxiety Disorder,By State,Texas,Texas,2021-08,28.3
7817,Symptoms of Anxiety Disorder,By State,Utah,Utah,2021-08,29.7
7818,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2021-08,25.8
7819,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2021-08,24.8
7820,Symptoms of Anxiety Disorder,By State,Washington,Washington,2021-08,29.4
7821,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2021-08,29.6
7822,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2021-08,22.5
7823,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2021-08,28.0
7851,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2021-08,38.5
7852,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2021-08,33.5
7853,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2021-08,35.8
7854,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2021-08,36.2
7855,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2021-08,31.5
7856,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2021-08,29.7
7857,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2021-08,27.9
7858,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2021-08,32.4
7859,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2021-08,33.0
7860,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2021-08,31.4
7861,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2021-08,34.5
7862,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2021-08,31.8
7863,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2021-08,27.9
7864,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2021-08,28.6
7865,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2021-08,31.3
7866,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2021-08,28.5
7867,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2021-08,29.4
7868,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2021-08,33.8
7869,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2021-08,39.3
7870,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2021-08,31.0
7871,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2021-08,31.4
7872,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2021-08,32.0
7873,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2021-08,30.3
7874,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2021-08,30.4
7875,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2021-08,33.3
7876,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2021-08,30.6
7877,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2021-08,26.3
7878,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2021-08,27.9
7879,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2021-08,36.4
7880,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2021-08,23.9
7881,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2021-08,30.6
7882,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2021-08,30.3
7883,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2021-08,28.6
7884,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2021-08,34.0
7885,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2021-08,29.8
7886,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2021-08,34.5
7887,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2021-08,38.1
7888,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2021-08,35.3
7889,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2021-08,35.5
7890,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2021-08,29.3
7891,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2021-08,32.7
7892,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2021-08,31.1
7893,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2021-08,41.7
7894,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2021-08,32.6
7895,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2021-08,33.7
7896,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2021-08,29.3
7897,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2021-08,28.0
7898,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2021-08,33.7
7899,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2021-08,34.2
7900,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2021-08,25.1
7901,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2021-08,31.7
7929,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2021-09,24.4
7930,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2021-09,23.9
7931,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2021-09,20.4
7932,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2021-09,23.6
7933,Symptoms of Depressive Disorder,By State,California,California,2021-09,23.9
7934,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2021-09,19.5
7935,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2021-09,18.7
7936,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2021-09,20.2
7937,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2021-09,23.6
7938,Symptoms of Depressive Disorder,By State,Florida,Florida,2021-09,24.6
7939,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2021-09,19.6
7940,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2021-09,21.2
7941,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2021-09,20.1
7942,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2021-09,21.0
7943,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2021-09,21.8
7944,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2021-09,20.2
7945,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2021-09,23.3
7946,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2021-09,25.4
7947,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2021-09,31.2
7948,Symptoms of Depressive Disorder,By State,Maine,Maine,2021-09,15.5
7949,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2021-09,22.6
7950,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2021-09,19.7
7951,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2021-09,20.7
7952,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2021-09,16.6
7953,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2021-09,20.4
7954,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2021-09,24.2
7955,Symptoms of Depressive Disorder,By State,Montana,Montana,2021-09,16.6
7956,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2021-09,18.1
7957,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2021-09,24.9
7958,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2021-09,18.3
7959,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2021-09,18.2
7960,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2021-09,20.3
7961,Symptoms of Depressive Disorder,By State,New York,New York,2021-09,23.0
7962,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2021-09,19.0
7963,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2021-09,21.3
7964,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2021-09,22.2
7965,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2021-09,25.7
7966,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2021-09,25.0
7967,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2021-09,18.6
7968,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2021-09,21.7
7969,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2021-09,19.4
7970,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2021-09,10.6
7971,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2021-09,28.4
7972,Symptoms of Depressive Disorder,By State,Texas,Texas,2021-09,27.3
7973,Symptoms of Depressive Disorder,By State,Utah,Utah,2021-09,21.0
7974,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2021-09,27.1
7975,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2021-09,20.7
7976,Symptoms of Depressive Disorder,By State,Washington,Washington,2021-09,24.2
7977,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2021-09,24.6
7978,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2021-09,17.2
7979,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2021-09,21.5
8007,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2021-09,30.7
8008,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2021-09,30.0
8009,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2021-09,26.8
8010,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2021-09,30.0
8011,Symptoms of Anxiety Disorder,By State,California,California,2021-09,26.7
8012,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2021-09,25.7
8013,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2021-09,25.5
8014,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2021-09,27.5
8015,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2021-09,28.3
8016,Symptoms of Anxiety Disorder,By State,Florida,Florida,2021-09,32.9
8017,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2021-09,25.3
8018,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2021-09,26.4
8019,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2021-09,26.0
8020,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2021-09,28.0
8021,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2021-09,26.1
8022,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2021-09,25.3
8023,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2021-09,30.0
8024,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2021-09,30.7
8025,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2021-09,40.1
8026,Symptoms of Anxiety Disorder,By State,Maine,Maine,2021-09,22.9
8027,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2021-09,29.1
8028,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2021-09,27.4
8029,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2021-09,25.0
8030,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2021-09,21.9
8031,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2021-09,24.6
8032,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2021-09,27.3
8033,Symptoms of Anxiety Disorder,By State,Montana,Montana,2021-09,23.3
8034,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2021-09,24.5
8035,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2021-09,29.7
8036,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2021-09,26.3
8037,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2021-09,25.4
8038,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2021-09,29.0
8039,Symptoms of Anxiety Disorder,By State,New York,New York,2021-09,27.8
8040,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2021-09,29.7
8041,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2021-09,27.0
8042,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2021-09,28.2
8043,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2021-09,29.4
8044,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2021-09,32.5
8045,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2021-09,24.3
8046,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2021-09,29.5
8047,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2021-09,26.6
8048,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2021-09,18.5
8049,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2021-09,33.3
8050,Symptoms of Anxiety Disorder,By State,Texas,Texas,2021-09,31.9
8051,Symptoms of Anxiety Disorder,By State,Utah,Utah,2021-09,26.7
8052,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2021-09,29.3
8053,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2021-09,26.0
8054,Symptoms of Anxiety Disorder,By State,Washington,Washington,2021-09,28.9
8055,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2021-09,26.6
8056,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2021-09,22.8
8057,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2021-09,25.8
8085,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2021-09,34.2
8086,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2021-09,34.3
8087,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2021-09,30.9
8088,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2021-09,34.5
8089,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2021-09,32.5
8090,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2021-09,29.1
8091,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2021-09,29.2
8092,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2021-09,30.4
8093,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2021-09,32.4
8094,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2021-09,35.5
8095,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2021-09,31.0
8096,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2021-09,30.0
8097,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2021-09,30.1
8098,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2021-09,31.4
8099,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2021-09,30.5
8100,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2021-09,28.9
8101,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2021-09,33.7
8102,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2021-09,33.0
8103,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2021-09,44.4
8104,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2021-09,25.9
8105,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2021-09,32.8
8106,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2021-09,30.3
8107,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2021-09,29.3
8108,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2021-09,25.5
8109,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2021-09,29.2
8110,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2021-09,33.7
8111,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2021-09,25.5
8112,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2021-09,28.1
8113,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2021-09,33.2
8114,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2021-09,28.7
8115,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2021-09,28.1
8116,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2021-09,31.7
8117,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2021-09,32.0
8118,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2021-09,32.2
8119,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2021-09,30.7
8120,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2021-09,31.6
8121,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2021-09,34.7
8122,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2021-09,37.1
8123,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2021-09,27.2
8124,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2021-09,32.1
8125,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2021-09,29.2
8126,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2021-09,19.9
8127,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2021-09,36.8
8128,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2021-09,36.3
8129,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2021-09,29.9
8130,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2021-09,37.5
8131,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2021-09,30.7
8132,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2021-09,34.1
8133,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2021-09,32.6
8134,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2021-09,26.5
8135,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2021-09,31.1
8163,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2021-09,23.0
8164,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2021-09,28.3
8165,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2021-09,23.2
8166,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2021-09,29.7
8167,Symptoms of Depressive Disorder,By State,California,California,2021-09,24.6
8168,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2021-09,21.1
8169,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2021-09,18.1
8170,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2021-09,25.5
8171,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2021-09,16.5
8172,Symptoms of Depressive Disorder,By State,Florida,Florida,2021-09,22.9
8173,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2021-09,21.6
8174,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2021-09,26.5
8175,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2021-09,21.3
8176,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2021-09,20.5
8177,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2021-09,20.5
8178,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2021-09,18.9
8179,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2021-09,25.6
8180,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2021-09,18.9
8181,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2021-09,30.6
8182,Symptoms of Depressive Disorder,By State,Maine,Maine,2021-09,18.1
8183,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2021-09,20.9
8184,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2021-09,16.3
8185,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2021-09,18.4
8186,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2021-09,16.5
8187,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2021-09,28.2
8188,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2021-09,30.3
8189,Symptoms of Depressive Disorder,By State,Montana,Montana,2021-09,25.1
8190,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2021-09,15.6
8191,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2021-09,26.5
8192,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2021-09,17.0
8193,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2021-09,20.6
8194,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2021-09,25.6
8195,Symptoms of Depressive Disorder,By State,New York,New York,2021-09,23.6
8196,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2021-09,21.4
